Year,Pakistan,India,China,Turkey,Israel,Switzerland,Netherlands
1987,4.681218546,8.801125813,7.233835531,38.85584348,19.09385113,1.44032188,-0.691203091
1988,8.837937018,9.383471862,18.81181794,68.80964338,16.44021739,1.872468597,0.737943046
1989,7.844264737,7.074280029,18.24563836,63.27255249,20.3033839,3.155269797,1.082160156
1990,9.052131553,8.971232503,3.052290121,60.30386913,17.26479146,5.403959092,2.454089859
1991,11.79127034,13.87024618,3.556685652,65.97856799,19.02398677,5.859596635,3.158197519
1992,9.509041462,11.78781704,6.35398134,70.07610387,12.02223767,4.037030208,3.183585695
1993,9.97366476,6.326890488,14.61007864,66.09384298,10.98014888,3.292621803,2.584181156
1994,12.36819439,10.24793556,24.25698972,105.2149865,12.27874045,0.852116995,2.801526937
1995,12.34357852,10.22488616,16.79122517,89.11331722,9.940258878,1.799827769,1.923224572
1996,10.37380859,8.977152338,8.313160289,80.41215114,11.39622642,0.811634065,2.113787871
1997,11.37549289,7.164252115,2.786465055,85.66936165,8.956639566,0.520225423,2.109245627
1998,6.228004154,13.23083898,-0.773186012,84.64134348,5.496828753,0.017938438,1.959136323
1999,4.142637181,4.66982038,-1.401472683,64.86748764,5.175055994,0.806444381,2.157179181
2000,4.366664513,4.00943591,0.347811227,54.91537058,1.053575432,1.558529197,2.360522338
2001,3.148261446,3.779293122,0.719125609,54.40018876,1.15350488,0.98902033,4.155841272
2002,3.290344726,4.297152039,-0.731970902,44.96412095,5.756578947,0.642711507,3.287531047
2003,2.914134701,3.805858995,1.127603487,21.60243845,0.725764645,0.638272931,2.09199839
2004,7.444624693,3.767251735,3.824637431,8.598261681,-0.411734431,0.802908731,1.263647392
2005,9.06332737,4.24634362,1.776414077,8.179160368,1.312661499,1.171954203,1.688130179
2006,7.921084401,5.796523376,1.649430995,9.597242123,2.060803918,1.059509283,1.101501065
2007,7.598684411,6.372881356,4.816767674,8.75618091,0.459816074,0.732350603,1.613858598
2008,20.28612109,8.349267049,5.92525137,10.44412838,4.55721393,2.426041171,2.486501983
2009,13.64776506,10.88235294,-0.728165251,6.250976631,3.340312143,-0.480481936,1.18977687
2010,12.93887056,11.98938992,3.175324753,8.566444206,2.716640575,0.688238707,1.275305696
2011,11.91609271,8.858360966,5.553898923,6.471879671,3.478572709,0.231349208,2.341070178
2012,9.682351861,9.312445605,2.619524326,8.891569965,1.689481892,-0.692552018,2.455547653
2013,7.692156119,11.06367478,2.621050017,7.493090305,1.576211979,-0.217323155,2.506898527
2014,7.189384028,6.649500151,1.921641628,8.854572714,0.486495554,-0.013202539,0.97603508
2015,2.529328173,4.906973441,1.437023809,7.670853648,-0.634390651,-1.143908672,0.600248147
2016,3.765119164,4.948216341,2.000001822,7.775134153,-0.546034946,-0.434618664,0.316666667
2017,4.08537368,3.328173375,1.593136001,11.14431108,0.244953121,0.53378784,1.381458714
2018,5.078057259,3.945068664,2.0747904,16.3324639,0.817323896,0.936335464,1.703497947
2019,10.5783618,3.723276483,2.899234164,15.17682157,0.844128709,0.36288618,2.633699102
2020,9.739993139,6.623436776,2.419421895,12.27895745,-0.5884303,-0.725874933,1.272460378
